Country Name,Country Code,Year,Exports of goods and services (% of GDP),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Inflation, consumer prices (annual %)"
Tanzania,TZA,2023,17.19542987627545,79030935638.13165,5.069523532033941,1224.00219726563,3.799232913849163
Tanzania,TZA,2024,19.73254940515309,79235713444.97768,5.526313830594503,1192.60668945313,3.056946763123725
Tanzania,TZA,2025,18.98468185757224,90143496090.44116,5.852868286927389,1318.81921386719,3.326973613161054
Uganda,UGA,2015,12.8773253147369,32387183730.10015,5.187859860024659,862.9346103558107,5.589686062517254
Uganda,UGA,2016,12.427164415680643,29203988696.26261,4.781000292544817,752.6965717256556,5.70637504616212
Uganda,UGA,2017,16.661129421170536,30744473841.42399,3.1314055172359616,765.2183322973606,5.209717059142092
Uganda,UGA,2018,15.087053061151082,32927025619.679543,6.303923782629965,792.1657002281404,2.616011909522744
Uganda,UGA,2019,17.109058016738253,35353061003.435905,6.438745032764388,822.1711500363574,2.867588034468999
Uganda,UGA,2020,15.414798539728858,37600368241.66573,2.951306422180977,845.7664638901235,3.313322895445018
Uganda,UGA,2021,15.781008169527574,40529788748.67369,3.53658034070898,882.7917175425043,2.204572047574139
Uganda,UGA,2022,12.02199543333306,45565333210.91079,4.588021921817727,963.0673141171784,7.195788859758103
Uganda,UGA,2023,11.601708925549934,48768955863.31749,5.336972955114689,1002.3091391714248,5.350948042803953
Uganda,UGA,2024,16.757593115255357,53911907079.04852,6.055580758755895,1077.9127843861313,3.323380336918186
Uganda,UGA,2025,21.4395980877865,61985829288.14961,6.331811576773134,1206.304508250024,3.580827844380665
World,WLD,2015,28.04956890428112,75839351828606.19,3.127213256999056,10191.975251266247,1.437023809356548
World,WLD,2016,27.08450875970384,77084966373474.05,2.789740742345927,10239.465664573798,1.596912275832041
World,WLD,2017,28.004909237575134,82110104984460.0,3.4465862316795466,10784.395089629656,2.223143314488988
World,WLD,2018,28.877595988090853,87310840056717.77,3.2866308646280658,11344.728168656036,2.442583296928166
World,WLD,2019,27.942782714340485,88796498078977.7,2.680308747552999,11417.5958587724,2.206073057815252
World,WLD,2020,26.028882596102417,86388502867289.22,-2.88621185457086,10999.491758178092,1.9050972204750136
World,WLD,2021,28.464023098589493,98780038374127.02,6.48508887596752,12472.907415719084,3.4754032028987547
World,WLD,2022,30.72140113108679,102862471365574.69,3.4400109726564665,12876.237712407245,8.081695070219824
World,WLD,2023,29.07190760195218,107348614073349.6,2.8593849333597348,13313.857582600129,5.799441073919623
World,WLD,2024,29.077803037981063,111669432109120.69,2.9000134015671364,13717.090995633784,3.014475769779991
World,WLD,2025,29.48075088209339,118350166039395.92,2.9212731853915272,14405.848459552815,3.041413215565396
